user_id,action_date,action_name,error_message,device,type_of_purchase
1,2022-09-07,checkout_annual_completepayment.click.fail,"lastName field is required",desktop,"annual package"
2,2022-07-08,checkout_annual_completepayment.click.fail,"number field is required",desktop,"annual package"
5,2022-08-22,checkout_annual_completepayment.click.fail,"number field is required",desktop,"annual package"
39,2022-11-22,checkout_annual_completepayment.click.fail,"Your card was declined.",desktop,"annual package"
182,2022-07-11,checkout_monthly_completepayment.click.fail,"Your card has insufficient funds.",desktop,"monthly package"
278,2022-11-24,checkout_annual_completepayment.click.success,NULL,desktop,"annual package"
519,2022-11-21,checkout_annual_completepayment.click.success,NULL,desktop,"annual package"
558,2022-11-23,checkout_annual_completepayment.click.fail,"number field is required",desktop,"annual package"
768,2022-07-20,checkout_annual_completepayment.click.success,NULL,desktop,"annual package"
948,2022-11-27,checkout_annual_completepayment.click.fail,"year field is required",desktop,"annual package"
978,2022-11-28,checkout_annual_completepayment.click.fail,"Your card was declined.",mobile,"annual package"
1039,2023-01-30,checkout_monthly_completepayment.click.success,NULL,desktop,"monthly package"
1374,2022-10-29,checkout_monthly_completepayment.click.success,NULL,desktop,"monthly package"
1392,2022-10-21,checkout_annual_completepayment.click.fail,"Your card was declined.",mobile,"annual package"
1410,2022-11-27,checkout_annual_completepayment.click.success,NULL,desktop,"annual package"
1426,2022-11-24,checkout_annual_completepayment.click.fail,"year field is required",desktop,"annual package"
1436,2022-09-08,checkout_monthly_completepayment.click.fail,"Your card was declined.",mobile,"monthly package"
1469,2022-12-20,checkout_annual_completepayment.click.fail,"Your card was declined.",desktop,"annual package"
1482,2022-08-22,checkout_annual_completepayment.click.success,NULL,desktop,"annual package"
1486,2022-08-25,checkout_monthly_completepayment.click.success,NULL,desktop,"monthly package"
1516,2023-01-27,checkout_annual_completepayment.click.fail,"year field is required",mobile,"annual package"
1641,2022-08-18,checkout_monthly_completepayment.click.fail,"Your card was declined.",desktop,"monthly package"
1713,2022-12-01,checkout_annual_completepayment.click.success,NULL,desktop,"annual package"
1791,2022-07-26,checkout_annual_completepayment.click.fail,"lastName field is required",mobile,"annual package"
1864,2022-09-06,checkout_annual_completepayment.click.fail,"year field is required",mobile,"annual package"
2104,2022-10-21,checkout_annual_completepayment.click.success,NULL,desktop,"annual package"
2134,2023-01-24,checkout_annual_completepayment.click.fail,"Your card was declined.",desktop,"annual package"
2295,2022-12-09,checkout_annual_completepayment.click.fail,"number field is required",desktop,"annual package"
2529,2022-11-27,checkout_annual_completepayment.click.success,NULL,desktop,"annual package"
2555,2023-01-21,checkout_annual_completepayment.click.fail,"Your card has insufficient funds.",desktop,"annual package"
2617,2022-11-27,checkout_annual_completepayment.click.success,NULL,desktop,"annual package"
2688,2022-11-28,checkout_annual_completepayment.click.success,NULL,desktop,"annual package"
2724,2022-11-29,checkout_annual_completepayment.click.success,NULL,desktop,"annual package"
2737,2022-08-21,checkout_monthly_completepayment.click.success,NULL,desktop,"monthly package"
2834,2022-08-29,checkout_annual_completepayment.click.fail,"number field is required",mobile,"annual package"
2922,2022-11-27,checkout_annual_completepayment.click.fail,"year field is required",desktop,"annual package"
3152,2022-07-01,checkout_monthly_completepayment.click.fail,"year field is required",desktop,"monthly package"
3225,2022-08-29,checkout_annual_completepayment.click.success,NULL,mobile,"annual package"
3320,2022-12-23,checkout_annual_completepayment.click.success,NULL,desktop,"annual package"
3333,2022-07-26,checkout_monthly_completepayment.click.fail,"Your card's security code is incorrect.",desktop,"monthly package"
3395,2023-01-26,checkout_annual_completepayment.click.success,NULL,desktop,"annual package"
3426,2022-10-21,checkout_annual_completepayment.click.fail,"year field is required",desktop,"annual package"
3595,2022-11-28,checkout_annual_completepayment.click.fail,"Your card was declined.",desktop,"annual package"
3599,2022-11-27,checkout_annual_completepayment.click.fail,"number field is required",desktop,"annual package"
3643,2022-07-10,checkout_annual_completepayment.click.fail,"number field is required",desktop,"annual package"
3718,2022-11-21,checkout_monthly_completepayment.click.fail,"month field is required",desktop,"monthly package"
3747,2022-09-12,checkout_annual_completepayment.click.fail,"year field is required",desktop,"annual package"
4016,2022-09-29,checkout_coins_completepayment.click.success,NULL,desktop,"single course"
4034,2022-07-01,checkout_annual_completepayment.click.fail,"number field is required",desktop,"annual package"
4180,2022-10-31,checkout_lifetime_completepayment.click.success,NULL,desktop,"lifetime package"
4231,2022-12-02,checkout_annual_completepayment.click.fail,"year field is required",desktop,"annual package"
4303,2023-01-08,checkout_annual_completepayment.click.fail,"lastName field is required",desktop,"annual package"
4325,2023-01-01,checkout_annual_completepayment.click.success,NULL,desktop,"annual package"
4356,2022-11-23,checkout_annual_completepayment.click.success,NULL,desktop,"annual package"
4439,2022-09-22,checkout_monthly_completepayment.click.fail,"State field is required",desktop,"monthly package"
4629,2022-12-02,checkout_annual_completepayment.click.fail,"year field is required",desktop,"annual package"
4723,2022-08-31,checkout_annual_completepayment.click.fail,"year field is required",desktop,"annual package"
5111,2022-10-22,checkout_annual_completepayment.click.success,NULL,desktop,"annual package"
5135,2022-11-22,checkout_annual_completepayment.click.fail,"year field is required",desktop,"annual package"
5470,2022-10-20,checkout_annual_completepayment.click.success,NULL,mobile,"annual package"
5554,2022-10-07,checkout_annual_completepayment.click.fail,"Your card does not support this type of purchase.",desktop,"annual package"
5652,2022-07-01,checkout_annual_completepayment.click.success,NULL,desktop,"annual package"
5782,2022-08-31,checkout_annual_completepayment.click.fail,"zip field is required",mobile,"annual package"
6026,2022-08-12,checkout_monthly_completepayment.click.success,NULL,desktop,"monthly package"
6233,2022-09-22,checkout_monthly_completepayment.click.success,NULL,desktop,"monthly package"
6239,2022-08-01,checkout_monthly_completepayment.click.fail,"year field is required",desktop,"monthly package"
6270,2022-11-23,checkout_annual_completepayment.click.fail,"Your card was declined.",desktop,"annual package"
6657,2022-12-21,checkout_annual_completepayment.click.fail,"lastName field is required",desktop,"annual package"
6819,2022-12-09,checkout_annual_completepayment.click.success,NULL,desktop,"annual package"
6907,2022-11-21,checkout_annual_completepayment.click.fail,"year field is required",desktop,"annual package"
7034,2022-12-27,checkout_monthly_completepayment.click.fail,"Your card's security code is incorrect.",desktop,"monthly package"
